cas,species_name,species_ids,profile_count,source_categories,source_category_frequency
6006333,tridecylcyclohexane,1718,94,composite profile; diesel composition; diesel exhaust; medium duty trucks,composite profile:1; diesel composition:1; diesel exhaust:91; medium duty trucks:1
1120214,N-undecane,610,93,"composite profile; cons prd; diesel exhaust; diesel exhaust emissions from 2007 model year heavy; diesel exhaust emissions from pre; diesel exhaust emissions from tier 1 off; diesel exhaust emissions from tier 2 off; diesel headspace vapor; diesel headspace vapor composite; gasoline headspace vapor; heavy duty diesel with dpf, combination of previous measurements with vbs; light duty diesel exhaust; liquid diesel; marine vessel; nonroad diesel marine; nonroad diesel pre; nonroad diesel tier 1; nonroad diesel tier 2; nonroad residual oil marine; onroad diesel dpf; onroad diesel non; passenger ferry; residential wood combustion; residential wood combustion – noncatalytic woodstove, hardwood; rice straw burning gap; unburned diesel exhaust; vehicle exhaust; volatility resolved liquid diesel; wheat straw burning gap","composite profile:4; cons prd:1; diesel exhaust:22; diesel exhaust emissions from 2007 model year heavy:1; diesel exhaust emissions from pre:2; diesel exhaust emissions from tier 1 off:1; diesel exhaust emissions from tier 2 off:1; diesel headspace vapor:14; diesel headspace vapor composite:1; gasoline headspace vapor:2; heavy duty diesel with dpf, combination of previous measurements with vbs:1; light duty diesel exhaust:5; liquid diesel:10; marine vessel:1; nonroad diesel marine:2; nonroad diesel pre:2; nonroad diesel tier 1:2; nonroad diesel tier 2:2; nonroad residual oil marine:2; onroad diesel dpf:2; onroad diesel non:2; passenger ferry:1; residential wood combustion:3; residential wood combustion – noncatalytic woodstove, hardwood:1; rice straw burning gap:1; unburned diesel exhaust:1; vehicle exhaust:3; volatility resolved liquid diesel:2; wheat straw burning gap:1"
108087,"2,4-dimethylpentane",152,91,"biodiesel exhaust; composite profile; diesel exhaust; diesel exhaust emissions from pre; diesel exhaust emissions from tier 1 off; diesel exhaust emissions from tier 2 off; diesel headspace vapor; diesel headspace vapor composite; gasoline headspace vapor; heavy duty diesel with dpf, combination of previous measurements with vbs; light duty diesel exhaust; marine vessel; nonroad diesel airport; nonroad diesel airport ags; nonroad diesel marine; nonroad diesel pre; nonroad diesel tier 1; nonroad diesel tier 2; nonroad residual oil marine; onroad diesel 2010+; onroad diesel non; rice straw burning gap; sugar cane pre; vehicle exhaust; wheat straw burning gap","biodiesel exhaust:8; composite profile:1; diesel exhaust:14; diesel exhaust emissions from pre:2; diesel exhaust emissions from tier 1 off:1; diesel exhaust emissions from tier 2 off:1; diesel headspace vapor:14; diesel headspace vapor composite:1; gasoline headspace vapor:2; heavy duty diesel with dpf, combination of previous measurements with vbs:1; light duty diesel exhaust:5; marine vessel:1; nonroad diesel airport:1; nonroad diesel airport ags:1; nonroad diesel marine:2; nonroad diesel pre:2; nonroad diesel tier 1:2; nonroad diesel tier 2:2; nonroad residual oil marine:2; onroad diesel 2010+:2; onroad diesel non:2; rice straw burning gap:1; sugar cane pre:2; vehicle exhaust:20; wheat straw burning gap:1"
142621,Hexanoic acid,950,90,composite profile; diesel exhaust; residential wood combustion,composite profile:1; diesel exhaust:53; residential wood combustion:36
106989,1-butene,64,89,"composite profile; diesel exhaust; diesel exhaust emissions from 2007 model year heavy; diesel exhaust emissions from pre; diesel exhaust emissions from tier 1 off; diesel headspace vapor; diesel headspace vapor composite; fireplace wood combustion; gasoline headspace vapor; heavy duty diesel exhaust; heavy duty diesel with dpf, combination of previous measurements with vbs; light duty diesel exhaust; nonroad diesel tier 1; onroad diesel dpf; onroad diesel non; open burning dump; passenger ferry; reciprocating diesel engine; reciprocating distillate oil engine; residential wood combustion; residential wood combustion (c; sugar cane pre; vehicle exhaust","composite profile:4; diesel exhaust:16; diesel exhaust emissions from 2007 model year heavy:1; diesel exhaust emissions from pre:1; diesel exhaust emissions from tier 1 off:1; diesel headspace vapor:14; diesel headspace vapor composite:1; fireplace wood combustion:1; gasoline headspace vapor:2; heavy duty diesel exhaust:2; heavy duty diesel with dpf, combination of previous measurements with vbs:1; light duty diesel exhaust:6; nonroad diesel tier 1:2; onroad diesel dpf:2; onroad diesel non:2; open burning dump:1; passenger ferry:2; reciprocating diesel engine:1; reciprocating distillate oil engine:1; residential wood combustion:8; residential wood combustion (c:1; sugar cane pre:2; vehicle exhaust:17"
498077,Levoglucosan,955,89,agricultural burning; diesel exhaust; fireplace wood combustion; forest fire; outdoor hydronic heater; outdoor wood; residential wood combustion; residential wood stove combustion,agricultural burning:2; diesel exhaust:6; fireplace wood combustion:22; forest fire:6; outdoor hydronic heater:2; outdoor wood:5; residential wood combustion:39; residential wood stove combustion:7
67641,Acetone,281,89,"biodiesel exhaust; composite profile; diesel exhaust; diesel exhaust emissions from 2007 model year heavy; diesel exhaust emissions from pre; diesel exhaust emissions from tier 1 off; dry mill fuel ethanol production; external combustion boiler; fireplace wood combustion; heavy duty diesel with dpf, combination of previous measurements with vbs; light duty diesel exhaust; marine vessel; nonroad diesel marine; nonroad diesel pre; nonroad diesel tier 1; nonroad residual oil marine; onroad diesel 2010+; onroad diesel dpf; onroad diesel non; open burning; residential wood combustion; residential wood combustion – noncatalytic woodstove, hardwood; rice straw burning gap; wheat straw burning gap","biodiesel exhaust:27; composite profile:4; diesel exhaust:24; diesel exhaust emissions from 2007 model year heavy:1; diesel exhaust emissions from pre:1; diesel exhaust emissions from tier 1 off:1; dry mill fuel ethanol production:1; external combustion boiler:1; fireplace wood combustion:1; heavy duty diesel with dpf, combination of previous measurements with vbs:1; light duty diesel exhaust:5; marine vessel:1; nonroad diesel marine:2; nonroad diesel pre:2; nonroad diesel tier 1:2; nonroad residual oil marine:2; onroad diesel 2010+:2; onroad diesel dpf:2; onroad diesel non:2; open burning:1; residential wood combustion:3; residential wood combustion – noncatalytic woodstove, hardwood:1; rice straw burning gap:1; wheat straw burning gap:1"
592416,1-hexene,78,88,"biodiesel exhaust; composite profile; diesel exhaust; diesel exhaust emissions from 2007 model year heavy; diesel exhaust emissions from pre; diesel exhaust emissions from tier 1 off; diesel exhaust emissions from tier 2 off; diesel headspace vapor; gasoline headspace vapor; light duty diesel exhaust; marine vessel; nonroad diesel marine; nonroad diesel pre; nonroad diesel tier 1; nonroad diesel tier 2; nonroad residual oil marine; onroad diesel dpf; passenger ferry; residential wood combustion; residential wood combustion – noncatalytic woodstove, hardwood; rice straw burning gap; sugar cane pre; vehicle exhaust; wheat straw burning gap","biodiesel exhaust:16; composite profile:4; diesel exhaust:23; diesel exhaust emissions from 2007 model year heavy:1; diesel exhaust emissions from pre:1; diesel exhaust emissions from tier 1 off:1; diesel exhaust emissions from tier 2 off:1; diesel headspace vapor:10; gasoline headspace vapor:2; light duty diesel exhaust:5; marine vessel:1; nonroad diesel marine:2; nonroad diesel pre:2; nonroad diesel tier 1:2; nonroad diesel tier 2:2; nonroad residual oil marine:2; onroad diesel dpf:2; passenger ferry:2; residential wood combustion:3; residential wood combustion – noncatalytic woodstove, hardwood:1; rice straw burning gap:1; sugar cane pre:2; vehicle exhaust:1; wheat straw burning gap:1"
78933,Methyl ethyl ketone (or MEK || 2-butanone),536,87,"biodiesel exhaust; composite profile; diesel exhaust; diesel exhaust emissions from 2007 model year heavy; diesel exhaust emissions from pre; diesel exhaust emissions from tier 1 off; diesel exhaust emissions from tier 2 off; fireplace wood combustion; heavy duty diesel with dpf, combination of previous measurements with vbs; marine vessel; nonroad diesel airport; nonroad diesel airport ags; nonroad diesel marine; nonroad diesel pre; nonroad diesel tier 1; nonroad diesel tier 2; nonroad residual oil marine; onroad diesel 2010+; onroad diesel dpf; onroad diesel non; open burning; residential wood combustion; residential wood combustion – noncatalytic woodstove, hardwood; rice straw burning gap; wheat straw burning gap","biodiesel exhaust:27; composite profile:4; diesel exhaust:21; diesel exhaust emissions from 2007 model year heavy:1; diesel exhaust emissions from pre:2; diesel exhaust emissions from tier 1 off:1; diesel exhaust emissions from tier 2 off:1; fireplace wood combustion:3; heavy duty diesel with dpf, combination of previous measurements with vbs:1; marine vessel:1; nonroad diesel airport:1; nonroad diesel airport ags:1; nonroad diesel marine:2; nonroad diesel pre:2; nonroad diesel tier 1:2; nonroad diesel tier 2:2; nonroad residual oil marine:2; onroad diesel 2010+:2; onroad diesel dpf:2; onroad diesel non:2; open burning:1; residential wood combustion:3; residential wood combustion – noncatalytic woodstove, hardwood:1; rice straw burning gap:1; wheat straw burning gap:1"
104518,N-butylbenzene,596,85,"biodiesel exhaust; composite profile; cons prd; diesel exhaust; diesel exhaust emissions from pre; diesel exhaust emissions from tier 1 off; diesel headspace vapor; diesel headspace vapor composite; heavy duty diesel with dpf, combination of previous measurements with vbs; liquid diesel; marine vessel; nonroad diesel marine; nonroad diesel pre; nonroad diesel tier 1; nonroad residual oil marine; onroad diesel non; unburned diesel exhaust; vehicle exhaust; volatility resolved liquid diesel","biodiesel exhaust:7; composite profile:3; cons prd:1; diesel exhaust:32; diesel exhaust emissions from pre:2; diesel exhaust emissions from tier 1 off:1; diesel headspace vapor:12; diesel headspace vapor composite:1; heavy duty diesel with dpf, combination of previous measurements with vbs:1; liquid diesel:10; marine vessel:1; nonroad diesel marine:2; nonroad diesel pre:2; nonroad diesel tier 1:2; nonroad residual oil marine:2; onroad diesel non:2; unburned diesel exhaust:1; vehicle exhaust:1; volatility resolved liquid diesel:2"
